,entity,tag,sample
0,5,B-QUANTITY,1
1,ounces,B-UNIT,1
2,rum,B-FOOD,1
3,4,B-QUANTITY,1
4,ounces,B-UNIT,1
5,triple,B-FOOD,1
6,sec,I-FOOD,1
7,ounces,B-UNIT,1
8,Tia,B-FOOD,1
9,Maria,I-FOOD,1
10,ounces,B-UNIT,1
11,orange,B-FOOD,1
12,juice,I-FOOD,1
13,2,B-QUANTITY,2
14,tubes,B-UNIT,2
15,cinnamon,B-FOOD,2
16,roll,I-FOOD,2
17,with,B-FOOD,2
18,icing,B-FOOD,2
19,4,B-QUANTITY,2
20,tablespoons,B-UNIT,2
21,butter,B-FOOD,2
22,melted,B-PROCESS,2
23,6,B-QUANTITY,2
24,eggs,B-FOOD,2
25,½,B-QUANTITY,2
26,cup,B-UNIT,2
27,milk,B-FOOD,2
28,2,B-QUANTITY,2
29,teaspoons,B-UNIT,2
30,cinnamon,B-FOOD,2
31,2,B-QUANTITY,2
32,teaspoons,B-UNIT,2
33,vanilla,B-FOOD,2
34,1,B-QUANTITY,2
35,cup,B-UNIT,2
36,maple,B-FOOD,2
37,syrup,I-FOOD,2
38,4,B-QUANTITY,3
39,ripe,B-PHYSICAL_QUALITY,3
40,coconuts,B-FOOD,3
41,1,B-QUANTITY,3
42,cup,B-UNIT,3
43,evaporated,B-FOOD,3
44,milk,I-FOOD,3
45,cup,B-UNIT,3
46,gin,B-FOOD,3
47,3,B-QUANTITY,3
48,tablespoons,B-UNIT,3
49,sugar,B-FOOD,3
50,1,B-QUANTITY,3
51,teaspoon,B-UNIT,3
52,ground,B-PROCESS,3
53,cinnamon,B-FOOD,3
54,1⁄2,B-QUANTITY,3
55,teaspoon,B-UNIT,3
56,freshly,B-PROCESS,3
57,grated,I-PROCESS,3
58,vanilla,B-FOOD,3
59,1,B-QUANTITY,3
60,cup,B-UNIT,3
61,maple,B-FOOD,3
62,syrup,I-FOOD,3
63,1,B-QUANTITY,4
64,sheet,B-UNIT,4
65,graham,B-FOOD,4
66,broken,B-PROCESS,4
67,in,I-PROCESS,4
68,pieces,B-UNIT,4
69,milk,B-FOOD,4
70,chocolate,I-FOOD,4
71,marshmallows,B-FOOD,4
72,6,B-QUANTITY,4
73,-8,I-QUANTITY,4
74,blueberries,B-FOOD,4
75,2,B-QUANTITY,4
76,thick,B-PHYSICAL_QUALITY,4
77,strawberry,B-FOOD,4
78,slices,I-FOOD,4
79,1⁄2,B-QUANTITY,4
80,teaspoon,B-UNIT,4
81,freshly,B-PROCESS,4
82,grated,I-PROCESS,4
83,vanilla,B-FOOD,4
84,1,B-QUANTITY,4
85,cup,B-UNIT,4
