EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:35:41	4	0.0000	3.229372096348958	2.3040871620178223	0.4366	0.5306	0.479	0.3708
2	10:52:32	4	0.0000	1.962420931542255	1.3834753036499023	0.6211	0.7082	0.6618	0.549
3	11:19:34	4	0.0000	1.2850554346679204	0.9866101741790771	0.7351	0.7879	0.7605	0.6518
4	11:39:27	4	0.0000	0.9607188538255462	0.8045766353607178	0.7821	0.8235	0.8023	0.7026
5	11:48:58	4	0.0000	0.7995833560944082	0.7129904627799988	0.8031	0.8447	0.8233	0.7293
6	11:58:35	4	0.0000	0.6886748151786356	0.6493105888366699	0.8239	0.8569	0.8401	0.75
7	12:18:03	4	0.0000	0.6422226935864452	0.6212044358253479	0.838	0.8641	0.8509	0.766
8	12:45:25	4	0.0000	0.5911915853140823	0.5981192588806152	0.8439	0.8731	0.8582	0.7766
9	13:09:35	4	0.0000	0.5780996350369539	0.5804790258407593	0.8545	0.8797	0.8669	0.7884
10	13:18:38	4	0.0000	0.5726371191322325	0.575149655342102	0.8561	0.8842	0.8699	0.794
