EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:20:12	4	0.0000	3.303672063063426	2.2644166946411133	0.4684	0.569	0.5138	0.398
2	14:29:57	4	0.0000	1.8896651008282321	1.3156741857528687	0.5944	0.6765	0.6328	0.5122
3	14:39:04	4	0.0000	1.200419361332813	0.9602267742156982	0.7281	0.7873	0.7566	0.6442
4	14:48:07	4	0.0000	0.9225622357493902	0.8114723563194275	0.7685	0.8023	0.7851	0.6849
5	14:59:50	4	0.0000	0.7642316825717808	0.7171989679336548	0.8063	0.8369	0.8213	0.7307
6	15:13:30	4	0.0000	0.6750312209069489	0.6615054607391357	0.8224	0.8536	0.8377	0.7504
7	15:23:28	4	0.0000	0.6251438713696108	0.6214587092399597	0.8322	0.8669	0.8492	0.7636
8	15:33:46	4	0.0000	0.5853120831540789	0.5951122045516968	0.8423	0.8714	0.8566	0.7725
9	15:49:51	4	0.0000	0.5692425522519403	0.5852389931678772	0.8451	0.8719	0.8583	0.7764
10	16:00:02	4	0.0000	0.559903432521595	0.57985520362854	0.8493	0.8753	0.8621	0.7817
